Alpha_Node,Total_Support
14-3-3,-532
BAD,-558
BAX,-534
BCL2,-530
CDC25,-352
CDC25C,-352
FKHRL1,-350
HDAC5,-350
MITR,-350
FORKHEAD,-540
4-1BB,-324
4-1BBL,-396
TRAF2,-424
A20,-386
CAMK2,-350
MKP1,-310
TNF,-350
TRAF6,-358
a2-Antiplasmin,-396
PLASMIN,-397
Ab-R,-394
D4-GDI,-395
GSK3B,-352
TAU,-440
ABI2,-332
NAP,-332
PIR,-332
RAC1,-492
WAVE1,-368
WAVE2,-370
WAVE3,-370
ABL1,-478
CDK5,-370
CRK,-478
GRB2,-410
JNK,-358
p14ARF,-390
P73,-396
PXN,-370
RAD51,-396
RAD9,-358
RB,-322
SHC,-498
VAV2,-456
DOK,-534
TP53BP1,-354
AC,-332
ATP,-358
CAMP,-350
CAP,-410
GAS,-396
GPCR,-456
SMPD1,-538
SPHK1,-410
ACHRE,-396
CALM3,-357
ACT,-396
CREM,-350
ACTG,-370
ACTN1,-348
APAF1,-560
TALIN,-506
SPTAN1,-500
VCL,-546
ACTIN,-552
Zyxin,-398
ACTR,-356
CARM1,-336
CBP,-564
p300,-354
RXR,-537
ADAM12,-396
EGF,-336
AFX,-358
FAS,-510
AGTR1,-336
Ca++,-524
GAQ,-352
JAK1,-472
AGTR2,-376
G1,-500
Gb,-372
Gia,-386
Gy,-410
NBS1,-396
AGT,-402
AHR,-398
ARNT,-396
Hsp90,-364
XAP2,-358
AKAP13,-358
RHOA,-526
RIIa,-398
AKT,-488
CASP9,-362
CREB,-352
GCK,-358
GR,-474
GSK3A,-402
IKK2,-350
IKKA,-350
IKKy,-350
MDM2,-538
MEKK,-510
MLK1,-368
MTOR,-350
NOS3,-538
PAK1,-550
RAF1,-362
SOD,-396
STAT3,-370
TERT,-406
TSC1,-398
IQGAP,-318
MEKK4,-514
MLK,-412
MLK3,-336
ALDOA,-396
CTSD,-350
ALK3,-396
ATF2,-396
BMPR2,-396
BMP-10,-396
BMP-2,-396
BMP-4,-396
BMP-5,-396
BMP-7,-396
BMPR1,-396
AMP,-392
AMPK,-395
ACC,-396
P21,-404
ANF,-398
pGC,-398
BCL2L1,-528
CYCS,-356
MAL,-350
APC,-472
AXIN,-410
CDH1,-510
CTBP1,-536
CTNNB1,-368
SMAD3,-398
SMAD4,-402
ALPHACATENIN,-426
APE1,-396
NME1,-396
PP32,-356
APLP1,-396
Ub,-391
APO2L,-396
DR4,-398
DR5,-398
APO3L,-396
DR3,-358
APOER2,-396
DAB1,-396
ARF1,-396
PKCE,-336
PLCD1,-438
ARHGAP1,-360
PKCA,-504
ROCK2,-398
CITRON,-396
PIP5K,-355
ARHGAP4,-356
ARHGAP5,-356
Rho,-341
ARHGAP6,-356
ARHGEF1,-355
JIP,-383
ARHGEF11,-356
ARHGEF5,-356
HIF1A,-351
ARP2,-336
ARP3,-398
IL9,-396
p34,-396
ASK1,-500
DAXX,-346
JNKK1,-400
MEK3,-308
MEK6,-308
MKK7,-496
c-JUN,-346
CSX,-352
GATA4,-352
IFNy,-348
IL2,-396
IL4,-396
TREH,-398
CRE,-396
TRE,-398
ATM,-308
ATR,-398
BRCA1,-398
BRCA2,-398
CHK1,-420
CHK2,-420
FANCD2,-398
NFkB,-316
p53,-376
ATRIP,-396
PLK3,-396
RAD17,-395
AVP,-356
DSH,-366
ANAPC1,-352
Diversin,-348
B2AR,-362
GA,-406
GALPHAS,-396
GBETAGAMMA,-538
NHERF,-368
BAK,-538
Bcl-w,-370
cIAP,-364
CYTOCHROMEC,-370
BID,-538
BIK,-360
BIM,-360
ITM2B,-398
Noxa,-360
BCLG,-398
Bok,-538
VDAC2,-536
CKI,-306
BIRC5,-396
XIAP,-520
TUBB4Q,-398
BLNK,-428
BTK,-374
LYN,-410
PLCy,-342
SYK,-544
VAV,-432
PLCg-2,-440
BMAL1,-396
CLOCK,-396
CTIP,-396
BTRC,-332
C3G,-374
RAP1A,-398
RAP1,-398
RAS,-526
Calpain2,-500
CAM,-340
Cd++,-350
CK1a,-396
CK1d,-396
DREAM,-340
GCAP,-396
NFAT,-404
PKC,-416
PLA2,-396
PP2A,-550
PTK,-540
AC5,-398
ALPHAACTININ,-412
CALMODULIN,-524
CALNEXIN,-350
CALRETICULIN,-370
CAPRI,-374
DOC2,-396
DYNAMIN,-508
HIPPOCALCIN,-396
NCS1,-396
RABPHILIN,-354
RASGRP1,-374
SORCIN,-422
SV2A,-396
SYNAPSIN,-492
SYNAPTOTAGMIN,-360
VILIP,-396
Cn,-396
CABIN1,-432
PPP3R2,-398
MEF2D,-352
CALCINEURIN,-540
CAD,-396
H1,-398
ICAD,-358
TopoII,-398
NOS1,-362
Calpain1,-514
FAK,-526
VIL2,-508
AMPAR,-408
MAP2,-442
NMDAR,-412
SPECTRIN,-367
Calpastatin,-358
CAMK1,-344
MEF2C,-360
CAMKIV,-376
IL1A,-398
EPAC1,-402
PKAc,-356
cAMPGEFII,-398
PKA,-454
CNG,-398
MYT1,-396
RAR,-308
CASP10,-358
CASP3,-412
CASP8,-350
FADD,-358
FANCF,-360
IAP,-396
CASP2,-350
LMNA,-396
CASP6,-406
CASP7,-336
DNAPK,-396
FODRIN,-396
GAS2,-396
GELSOLIN,-342
PAK2,-358
PARP,-350
ROCK1,-350
EIF4G,-316
MEF2B,-396
PROKR1,-396
PPP2R5C,-392
Acinus,-396
MCL1,-536
NDUFS1,-396
plectin,-462
LMNB1,-396
LMNB2,-396
MIG1,-398
RIP,-334
DEDD1,-397
Catalase,-394
ROS,-396
CBL,-388
EGFR,-552
ZAP70,-384
CD3,-424
FGFR,-376
FRS2,-446
CSK,-478
ELK1,-342
Era,-508
GROUCHO,-530
LCK,-406
P50,-354
RELA,-354
SRC,-400
SRF,-372
STAT1,-426
STAT5,-426
TCF,-472
PCAF,-400
TCF7,-352
SRA1,-364
CCL5,-396
CCR3,-400
CCNA2,-376
CDK1,-398
CDK2,-374
CDK4,-398
CDK6,-358
E2F1,-502
CCNB1,-398
CCND1,-376
c-Myc,-526
PCNA,-398
PPARB,-358
CCND2,-396
CCND3,-396
CCNE1,-406
FBW7,-384
G2,-406
CCL11,-396
IP3R,-536
CD14,-394
TLR2,-393
TLR4,-360
CD36,-344
FYN,-348
p38,-498
TSP1,-398
CD4,-358
CXCR4,-396
TCR,-396
CD40,-396
CD40L,-396
TRAF3,-321
