Alpha_Node,Total_Support,Hugo Symbol,Is Oncogene,Is Tumor Suppressor Gene
CTNNB1,-737,CTNNB1,Yes,No
MCL1,-755,MCL1,Yes,No
SMAD2,-784,SMAD2,No,Yes
SMAD3,-784,SMAD3,No,Yes
SOS1,-793,SOS1,Yes,No
STAT3,-795,STAT3,Yes,No
STAT1,-797,STAT1,No,No
NCOA1,-797,NCOA1,No,No
YAP1,-797,YAP1,Yes,No
TCF7L2,-797,TCF7L2,No,Yes
ESR1,-798,ESR1,Yes,No
NCOA3,-798,NCOA3,Yes,No
RXRA,-798,RXRA,No,No
LEF1,-798,LEF1,Yes,No
JUN,-800,JUN,Yes,No
STAT2,-801,STAT2,No,No
STAT5A,-801,STAT5A,Yes,No
STAT5B,-801,STAT5B,Yes,No
SMAD4,-801,SMAD4,No,Yes
PML,-802,PML,No,Yes
HEY1,-802,HEY1,No,No
RARA,-802,RARA,No,No
CEBPA,-804,CEBPA,No,Yes
STAT6,-805,STAT6,Yes,No
STAT4,-805,STAT4,Yes,No
NFE2L2,-807,NFE2L2,Yes,No
XBP1,-847,XBP1,Yes,No
PIK3R1,-853,PIK3R1,No,Yes
PIK3R2,-853,PIK3R2,No,Yes
PIK3CD,-853,PIK3CD,Yes,No
PIK3CB,-853,PIK3CB,Yes,No
PIK3R3,-854,PIK3R3,No,Yes
PIK3CA,-854,PIK3CA,Yes,No
HNF1A,-855,HNF1A,No,Yes
CDX2,-856,CDX2,No,No
HDAC4,-857,HDAC4,Yes,Yes
WWTR1,-857,WWTR1,Yes,No
FOXO3,-858,FOXO3,No,No
EP300,-859,EP300,No,Yes
NCOA2,-859,NCOA2,No,No
TBX3,-859,TBX3,No,Yes
TCF3,-859,TCF3,No,Yes
FOXO1,-860,FOXO1,No,Yes
NACA,-860,NACA,No,No
CREBBP,-860,CREBBP,No,Yes
MAPK3,-861,MAPK3,Yes,No
