Alpha_Node,Total_Support,Hugo Symbol,Is Oncogene,Is Tumor Suppressor Gene,Match Source
CTNNB1,-737,CTNNB1,Yes,No,Hugo Symbol
MCL1,-755,MCL1,Yes,No,Hugo Symbol
SMAD2,-784,SMAD2,No,Yes,Hugo Symbol
SMAD3,-784,SMAD3,No,Yes,Hugo Symbol
SOS1,-793,SOS1,Yes,No,Hugo Symbol
STAT3,-795,STAT3,Yes,No,Hugo Symbol
STAT1,-797,STAT1,No,No,Hugo Symbol
NCOA1,-797,NCOA1,No,No,Hugo Symbol
YAP1,-797,YAP1,Yes,No,Hugo Symbol
TCF7L2,-797,TCF7L2,No,Yes,Hugo Symbol
ESR1,-798,ESR1,Yes,No,Hugo Symbol
NCOA3,-798,NCOA3,Yes,No,Hugo Symbol
RXRA,-798,RXRA,No,No,Hugo Symbol
LEF1,-798,LEF1,Yes,No,Hugo Symbol
JUN,-800,JUN,Yes,No,Hugo Symbol
STAT2,-801,STAT2,No,No,Hugo Symbol
STAT5A,-801,STAT5A,Yes,No,Hugo Symbol
STAT5B,-801,STAT5B,Yes,No,Hugo Symbol
SMAD4,-801,SMAD4,No,Yes,Hugo Symbol
PML,-802,PML,No,Yes,Hugo Symbol
HEY1,-802,HEY1,No,No,Hugo Symbol
RARA,-802,RARA,No,No,Hugo Symbol
CEBPA,-804,CEBPA,No,Yes,Hugo Symbol
STAT6,-805,STAT6,Yes,No,Hugo Symbol
STAT4,-805,STAT4,Yes,No,Hugo Symbol
NFE2L2,-807,NFE2L2,Yes,No,Hugo Symbol
XBP1,-847,XBP1,Yes,No,Hugo Symbol
PIK3R1,-853,PIK3R1,No,Yes,Hugo Symbol
PIK3R2,-853,PIK3R2,No,Yes,Hugo Symbol
PIK3CD,-853,PIK3CD,Yes,No,Hugo Symbol
PIK3CB,-853,PIK3CB,Yes,No,Hugo Symbol
PIK3R3,-854,PIK3R3,No,Yes,Hugo Symbol
PIK3CA,-854,PIK3CA,Yes,No,Hugo Symbol
HNF1A,-855,HNF1A,No,Yes,Hugo Symbol
CDX2,-856,CDX2,No,No,Hugo Symbol
HDAC4,-857,HDAC4,Yes,Yes,Hugo Symbol
WWTR1,-857,WWTR1,Yes,No,Hugo Symbol
FOXO3,-858,FOXO3,No,No,Hugo Symbol
EP300,-859,EP300,No,Yes,Hugo Symbol
NCOA2,-859,NCOA2,No,No,Hugo Symbol
TBX3,-859,TBX3,No,Yes,Hugo Symbol
TCF3,-859,TCF3,No,Yes,Hugo Symbol
FOXO1,-860,FOXO1,No,Yes,Hugo Symbol
NACA,-860,NACA,No,No,Hugo Symbol
CREBBP,-860,CREBBP,No,Yes,Hugo Symbol
MAPK3,-861,MAPK3,Yes,No,Hugo Symbol
